2016-07-16 12:18:44,200 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Tutorial5_ForLoops/src
2016-07-16 12:18:44,200 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Tutorial5_ForLoops/src/test/java because it overlaps with /Tutorial5_ForLoops/src
2016-07-16 12:18:44,251 [Worker-7] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2016-07-16 12:18:44,380 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-16 12:18:44,382 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jason/Desktop/codingKatas/java/Tutorial5_ForLoops/src/main/resources
2016-07-16 12:18:44,384 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-16 12:18:44,385 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jason/Desktop/codingKatas/java/Tutorial5_ForLoops/src/test/resources
2016-07-16 12:18:51,997 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Tutorial6_IfStatements:Tutorial6_IfStatements:0.0.1-SNAPSHOT @ /Users/Jason/Desktop/codingKatas/java/Tutorial6_IfStatements/pom.xml.
2016-07-16 12:18:52,146 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Tutorial6_IfStatements/src
2016-07-16 12:18:52,148 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Tutorial6_IfStatements/src/test/java because it overlaps with /Tutorial6_IfStatements/src
2016-07-16 12:18:52,195 [Worker-3] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
